Percentage served,Time in ms
0,1.597
1,1.933
2,2.121
3,2.246
4,2.343
5,2.439
6,2.614
7,2.745
8,2.807
9,2.884
10,2.972
11,3.051
12,3.108
13,3.190
14,3.270
15,3.315
16,3.406
17,3.490
18,3.551
19,3.617
20,3.680
21,3.715
22,3.754
23,3.806
24,3.843
25,3.920
26,3.975
27,4.030
28,4.094
29,4.147
30,4.201
31,4.285
32,4.319
33,4.371
34,4.404
35,4.519
36,4.601
37,4.669
38,4.753
39,4.805
40,4.871
41,4.935
42,5.032
43,5.125
44,5.223
45,5.278
46,5.332
47,5.390
48,5.481
49,5.585
50,5.692
51,5.788
52,5.882
53,5.937
54,6.041
55,6.181
56,6.260
57,6.345
58,6.441
59,6.558
60,6.666
61,6.782
62,6.877
63,6.977
64,7.076
65,7.186
66,7.329
67,7.464
68,7.602
69,7.690
70,7.805
71,7.904
72,7.990
73,8.088
74,8.160
75,8.306
76,8.472
77,8.565
78,8.875
79,9.001
80,9.332
81,9.681
82,10.041
83,10.237
84,10.580
85,10.877
86,11.195
87,11.586
88,12.429
89,14.006
90,33.828
91,45.518
92,47.933
93,49.813
94,50.659
95,51.275
96,52.115
97,53.660
98,56.321
99,58.203
100,16097.864
