Percentage served,Time in ms
0,6.560
1,12.867
2,14.247
3,15.014
4,16.008
5,16.306
6,16.668
7,16.830
8,17.089
9,17.255
10,17.579
11,17.786
12,17.867
13,18.099
14,18.248
15,18.350
16,18.481
17,18.602
18,18.875
19,18.945
20,19.016
21,19.168
22,19.294
23,19.381
24,19.460
25,19.578
26,19.680
27,19.732
28,19.852
29,19.978
30,20.159
31,20.342
32,20.494
33,20.648
34,20.751
35,20.931
36,21.008
37,21.124
38,21.241
39,21.359
40,21.514
41,21.657
42,21.949
43,22.109
44,22.239
45,22.514
46,22.687
47,22.844
48,23.160
49,23.573
50,23.920
51,24.386
52,26.292
53,27.778
54,29.608
55,31.046
56,33.191
57,42.131
58,61.182
59,65.193
60,65.722
61,66.567
62,67.005
63,67.498
64,67.797
65,68.243
66,68.374
67,68.633
68,68.745
69,68.896
70,69.137
71,69.301
72,69.515
73,69.727
74,69.834
75,70.041
76,70.179
77,70.260
78,70.420
79,70.628
80,70.831
81,71.090
82,71.366
83,71.536
84,71.787
85,72.084
86,72.503
87,72.813
88,73.119
89,73.790
90,74.366
91,74.970
92,76.534
93,77.178
94,78.536
95,80.271
96,81.291
97,82.359
98,83.482
99,85.784
100,151.958
