Percentage served,Time in ms
0,6.514
1,10.618
2,12.296
3,12.640
4,13.678
5,14.035
6,14.184
7,14.479
8,14.645
9,14.964
10,15.236
11,15.401
12,15.592
13,15.753
14,15.971
15,16.123
16,16.291
17,16.402
18,16.599
19,16.684
20,16.767
21,16.867
22,16.973
23,17.137
24,17.191
25,17.275
26,17.406
27,17.547
28,17.652
29,17.780
30,18.064
31,18.176
32,18.290
33,18.425
34,18.540
35,18.768
36,18.917
37,19.123
38,19.264
39,19.373
40,19.501
41,19.827
42,20.011
43,20.207
44,20.373
45,20.685
46,20.935
47,21.188
48,21.734
49,22.631
50,23.259
51,23.968
52,24.511
53,24.862
54,25.868
55,26.953
56,28.723
57,29.816
58,31.148
59,35.179
60,43.812
61,48.992
62,57.042
63,60.503
64,62.140
65,62.902
66,63.472
67,64.217
68,64.871
69,65.209
70,65.500
71,65.775
72,65.959
73,66.224
74,66.536
75,66.934
76,67.135
77,67.531
78,67.804
79,68.069
80,68.509
81,68.799
82,69.221
83,69.738
84,70.362
85,71.087
86,71.732
87,72.518
88,73.084
89,74.379
90,74.986
91,75.861
92,77.060
93,77.695
94,78.470
95,80.333
96,82.622
97,85.137
98,88.722
99,130.018
100,20198.211
