Percentage served,Time in ms
0,8.038
1,8.743
2,9.425
3,9.586
4,10.035
5,10.395
6,10.662
7,10.972
8,11.186
9,11.497
10,11.762
11,12.192
12,12.580
13,12.875
14,12.983
15,13.308
16,13.551
17,13.703
18,13.834
19,13.972
20,14.071
21,14.198
22,14.352
23,14.464
24,14.582
25,14.677
26,14.718
27,14.761
28,14.937
29,14.999
30,15.103
31,15.137
32,15.195
33,15.321
34,15.419
35,15.513
36,15.563
37,15.606
38,15.645
39,15.760
40,15.872
41,15.946
42,15.999
43,16.057
44,16.118
45,16.183
46,16.270
47,16.337
48,16.489
49,16.558
50,16.649
51,16.697
52,16.790
53,16.956
54,17.009
55,17.035
56,17.114
57,17.266
58,17.506
59,17.641
60,17.712
61,17.812
62,17.948
63,18.035
64,18.104
65,18.283
66,18.489
67,18.631
68,18.689
69,18.777
70,18.848
71,19.065
72,19.140
73,19.286
74,19.492
75,19.703
76,19.968
77,20.407
78,21.121
79,22.181
80,23.783
81,29.356
82,31.965
83,33.399
84,34.502
85,35.379
86,35.914
87,36.662
88,37.361
89,38.473
90,38.790
91,39.453
92,40.035
93,40.845
94,41.443
95,42.004
96,43.541
97,46.299
98,48.893
99,50.875
100,55.424
