Percentage served,Time in ms
0,9.578
1,10.328
2,10.597
3,10.813
4,11.069
5,11.213
6,11.551
7,12.037
8,12.430
9,12.490
10,13.085
11,13.287
12,13.452
13,13.555
14,13.733
15,13.900
16,14.131
17,14.442
18,14.531
19,14.644
20,14.724
21,14.840
22,15.042
23,15.243
24,15.429
25,15.594
26,15.684
27,15.761
28,15.906
29,16.081
30,16.133
31,16.203
32,16.303
33,16.353
34,16.423
35,16.539
36,16.663
37,16.735
38,16.888
39,16.908
40,16.939
41,17.090
42,17.142
43,17.199
44,17.276
45,17.418
46,17.504
47,17.657
48,17.777
49,17.847
50,17.975
51,18.199
52,18.487
53,18.661
54,18.764
55,18.873
56,19.002
57,19.158
58,19.302
59,19.367
60,19.545
61,19.686
62,19.763
63,19.858
64,20.201
65,20.386
66,20.502
67,20.825
68,21.135
69,21.479
70,21.883
71,22.174
72,22.820
73,23.366
74,23.617
75,25.903
76,32.650
77,36.848
78,38.721
79,40.116
80,41.377
81,42.373
82,43.204
83,44.297
84,45.258
85,46.065
86,46.376
87,46.976
88,47.696
89,48.371
90,48.735
91,49.267
92,49.891
93,51.181
94,51.708
95,52.268
96,53.731
97,54.443
98,55.046
99,56.325
100,18260.126
