Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.6919833333333334,min
Min cumulative indexing time across primary shards,,0.3312333333333333,min
Median cumulative indexing time across primary shards,,0.3381166666666667,min
Max cumulative indexing time across primary shards,,0.3466666666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.2936166666666667,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.04836666666666667,min
Median cumulative merge time across primary shards,,0.05848333333333333,min
Max cumulative merge time across primary shards,,0.0721,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.10576666666666666,min
Cumulative refresh count of primary shards,,66,
Min cumulative refresh time across primary shards,,0.015183333333333333,min
Median cumulative refresh time across primary shards,,0.019716666666666667,min
Max cumulative refresh time across primary shards,,0.02998333333333333,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.214,s
Total Young Gen GC count,,4,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7948298770934343,GB
Translog size,,0.9978948757052422,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,56,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1234.06,docs/s
Mean Throughput,bulk,2548.97,docs/s
Median Throughput,bulk,2571.16,docs/s
Max Throughput,bulk,2683.11,docs/s
50th percentile latency,bulk,53.6678830000028,ms
90th percentile latency,bulk,67.32915640001806,ms
99th percentile latency,bulk,106.04689783997395,ms
99.9th percentile latency,bulk,856.9213481009957,ms
99.99th percentile latency,bulk,1740.3329592383054,ms
100th percentile latency,bulk,1773.5507780000148,ms
50th percentile service time,bulk,53.6678830000028,ms
90th percentile service time,bulk,67.32915640001806,ms
99th percentile service time,bulk,106.04689783997395,ms
99.9th percentile service time,bulk,856.9213481009957,ms
99.99th percentile service time,bulk,1740.3329592383054,ms
100th percentile service time,bulk,1773.5507780000148,ms
error rate,bulk,0.00,%
