Percentage served,Time in ms
0,10.612
1,13.157
2,15.953
3,17.023
4,17.536
5,18.127
6,18.622
7,18.789
8,19.171
9,19.620
10,20.110
11,20.400
12,20.729
13,20.836
14,21.009
15,21.204
16,21.284
17,21.376
18,21.608
19,21.687
20,21.782
21,21.956
22,22.168
23,22.320
24,22.592
25,22.723
26,22.888
27,23.347
28,23.572
29,23.756
30,24.031
31,24.336
32,24.627
33,24.927
34,25.280
35,26.332
36,27.316
37,27.737
38,28.373
39,29.270
40,30.827
41,32.345
42,33.026
43,33.749
44,34.475
45,39.412
46,45.759
47,64.981
48,65.918
49,66.550
50,67.093
51,67.783
52,68.017
53,68.487
54,69.494
55,69.946
56,70.435
57,70.708
58,71.051
59,71.339
60,71.642
61,71.794
62,71.941
63,72.245
64,72.475
65,72.696
66,72.881
67,73.015
68,73.186
69,73.553
70,73.749
71,74.345
72,74.922
73,75.260
74,75.811
75,76.224
76,76.591
77,77.271
78,78.456
79,79.220
80,80.488
81,81.601
82,82.678
83,83.256
84,83.726
85,84.157
86,85.073
87,85.612
88,85.864
89,86.206
90,86.522
91,87.575
92,88.657
93,90.132
94,93.731
95,95.048
96,100.041
97,103.906
98,107.448
99,123.693
100,197.625
