Percentage served,Time in ms
0,8.610
1,9.550
2,9.795
3,10.471
4,11.135
5,11.333
6,11.996
7,12.094
8,12.274
9,12.571
10,12.646
11,13.069
12,13.135
13,13.506
14,13.922
15,14.353
16,14.486
17,14.740
18,14.943
19,15.185
20,15.381
21,15.673
22,16.009
23,16.292
24,16.394
25,16.823
26,17.201
27,17.749
28,17.881
29,18.006
30,18.224
31,18.519
32,18.631
33,18.751
34,19.176
35,19.545
36,20.137
37,20.771
38,21.359
39,21.796
40,22.732
41,22.959
42,23.346
43,23.789
44,24.556
45,25.480
46,25.811
47,27.927
48,28.550
49,29.177
50,30.468
51,31.738
52,32.771
53,34.410
54,38.210
55,41.095
56,48.260
57,57.850
58,60.104
59,61.528
60,61.986
61,62.659
62,63.388
63,63.879
64,64.218
65,64.955
66,65.281
67,65.806
68,66.883
69,67.365
70,68.158
71,68.342
72,68.901
73,69.410
74,70.249
75,70.813
76,71.205
77,71.866
78,72.504
79,73.342
80,74.153
81,74.803
82,75.427
83,76.477
84,76.912
85,78.036
86,78.859
87,79.289
88,80.213
89,82.713
90,83.692
91,84.301
92,85.140
93,86.639
94,88.593
95,89.642
96,91.001
97,93.446
98,95.364
99,101.259
100,17353.859
