Percentage served,Time in ms
0,8.455
1,11.653
2,13.600
3,14.547
4,14.799
5,15.086
6,15.392
7,15.705
8,16.047
9,16.486
10,16.576
11,16.696
12,16.929
13,17.126
14,17.292
15,17.576
16,17.727
17,17.937
18,18.088
19,18.258
20,18.464
21,18.609
22,18.704
23,18.871
24,19.037
25,19.113
26,19.196
27,19.378
28,19.549
29,19.703
30,19.973
31,20.103
32,20.603
33,20.902
34,21.109
35,21.308
36,21.671
37,21.849
38,22.150
39,22.540
40,22.905
41,23.101
42,23.244
43,23.627
44,24.189
45,24.893
46,26.275
47,27.763
48,28.729
49,29.863
50,32.307
51,34.970
52,35.524
53,47.893
54,57.447
55,60.982
56,63.006
57,64.836
58,65.271
59,65.841
60,66.187
61,66.624
62,66.997
63,67.335
64,67.483
65,67.684
66,67.910
67,68.235
68,68.390
69,68.811
70,69.236
71,70.103
72,70.352
73,70.591
74,71.330
75,71.758
76,72.102
77,72.677
78,73.189
79,73.986
80,74.572
81,75.812
82,76.846
83,77.663
84,78.364
85,79.226
86,80.529
87,81.441
88,82.828
89,84.293
90,85.779
91,86.823
92,90.456
93,92.768
94,98.225
95,99.853
96,108.299
97,114.108
98,153.701
99,172.320
100,225.132
