Percentage served,Time in ms
0,13.584
1,17.772
2,20.202
3,21.067
4,22.971
5,24.671
6,25.348
7,25.905
8,26.038
9,26.383
10,26.640
11,26.971
12,27.114
13,27.395
14,27.637
15,27.886
16,28.069
17,28.225
18,28.420
19,28.619
20,28.734
21,28.821
22,28.917
23,29.020
24,29.048
25,29.143
26,29.230
27,29.378
28,29.578
29,29.731
30,29.990
31,30.230
32,30.343
33,30.440
34,30.603
35,30.750
36,31.202
37,31.406
38,31.847
39,32.088
40,33.059
41,34.763
42,36.972
43,38.328
44,39.330
45,40.552
46,41.704
47,43.652
48,49.449
49,52.538
50,55.298
51,60.709
52,61.618
53,62.667
54,63.187
55,63.901
56,64.724
57,65.227
58,65.990
59,66.148
60,66.240
61,66.433
62,66.554
63,66.736
64,67.117
65,67.268
66,67.618
67,67.792
68,68.056
69,68.123
70,68.315
71,68.646
72,68.892
73,69.146
74,69.532
75,69.786
76,70.068
77,70.361
78,70.779
79,71.318
80,71.484
81,72.316
82,73.052
83,73.524
84,74.627
85,76.052
86,77.464
87,78.661
88,79.898
89,80.913
90,82.420
91,82.707
92,83.365
93,83.808
94,83.941
95,84.729
96,86.013
97,86.482
98,87.890
99,90.047
100,107.977
