Percentage served,Time in ms
0,15.740
1,17.874
2,20.962
3,23.041
4,23.546
5,24.461
6,24.799
7,25.009
8,25.193
9,25.416
10,25.549
11,25.743
12,25.974
13,26.368
14,26.547
15,26.838
16,27.264
17,27.382
18,27.472
19,27.644
20,27.756
21,27.896
22,28.047
23,28.125
24,28.326
25,28.464
26,28.628
27,28.733
28,28.883
29,29.017
30,29.229
31,29.391
32,29.580
33,29.669
34,29.882
35,30.184
36,30.297
37,30.438
38,30.644
39,31.199
40,31.477
41,32.040
42,32.908
43,33.113
44,33.598
45,34.250
46,34.550
47,34.909
48,35.651
49,36.619
50,38.337
51,39.321
52,40.369
53,48.656
54,51.826
55,54.942
56,58.682
57,59.774
58,61.428
59,62.397
60,63.537
61,63.832
62,64.456
63,64.862
64,65.176
65,65.393
66,65.673
67,65.850
68,65.957
69,66.177
70,66.669
71,66.846
72,67.039
73,67.161
74,67.486
75,67.776
76,68.043
77,68.231
78,68.394
79,68.555
80,69.270
81,69.588
82,69.729
83,70.015
84,70.189
85,70.713
86,71.050
87,71.437
88,71.935
89,72.491
90,73.288
91,73.902
92,74.775
93,75.439
94,75.785
95,76.843
96,77.479
97,78.292
98,79.012
99,81.805
100,17689.145
