Percentage served,Time in ms
0,7.754
1,16.332
2,17.988
3,18.556
4,18.758
5,19.585
6,20.437
7,20.763
8,21.008
9,21.105
10,21.343
11,21.779
12,21.971
13,22.172
14,22.458
15,22.717
16,22.893
17,23.103
18,23.418
19,23.555
20,23.817
21,24.064
22,24.252
23,24.437
24,24.585
25,24.844
26,24.908
27,25.097
28,25.219
29,25.397
30,25.568
31,25.904
32,26.131
33,26.468
34,26.943
35,27.227
36,27.838
37,29.234
38,29.886
39,30.813
40,33.032
41,34.217
42,35.125
43,38.025
44,42.993
45,63.987
46,65.755
47,66.324
48,68.494
49,69.396
50,69.836
51,70.106
52,70.311
53,70.655
54,71.222
55,71.407
56,71.790
57,71.980
58,72.084
59,72.204
60,72.462
61,72.615
62,72.766
63,72.995
64,73.325
65,73.444
66,73.761
67,74.222
68,74.516
69,74.845
70,75.318
71,75.578
72,75.840
73,76.131
74,76.612
75,76.948
76,77.342
77,77.531
78,78.598
79,79.253
80,80.236
81,81.374
82,82.329
83,83.075
84,84.599
85,85.912
86,86.304
87,87.882
88,88.156
89,88.530
90,89.174
91,92.855
92,94.533
93,95.686
94,96.855
95,100.096
96,102.708
97,107.154
98,122.736
99,178.531
100,256.191
