Percentage served,Time in ms
0,7.977
1,9.599
2,10.075
3,11.077
4,11.685
5,11.981
6,12.277
7,12.490
8,12.690
9,12.907
10,13.429
11,13.515
12,13.745
13,13.996
14,14.237
15,14.518
16,14.862
17,15.191
18,15.402
19,15.625
20,15.820
21,16.160
22,16.438
23,16.563
24,16.928
25,17.417
26,17.528
27,17.752
28,18.123
29,18.564
30,18.919
31,19.117
32,19.243
33,19.857
34,20.246
35,20.677
36,20.910
37,21.391
38,21.907
39,22.728
40,23.418
41,23.863
42,24.233
43,24.663
44,25.473
45,26.091
46,27.006
47,27.821
48,28.438
49,28.913
50,30.725
51,33.371
52,35.015
53,36.822
54,41.930
55,55.069
56,61.086
57,61.710
58,62.528
59,63.337
60,63.861
61,64.670
62,65.308
63,65.843
64,66.560
65,66.809
66,67.399
67,67.889
68,68.161
69,68.446
70,68.942
71,69.628
72,70.154
73,70.934
74,71.840
75,72.788
76,73.164
77,73.973
78,74.680
79,75.872
80,76.925
81,78.150
82,78.582
83,79.639
84,81.164
85,81.446
86,82.341
87,83.523
88,84.692
89,86.167
90,87.023
91,87.938
92,88.247
93,89.289
94,91.110
95,93.103
96,95.095
97,96.863
98,101.890
99,107.280
100,17156.831
