Percentage served,Time in ms
0,12.222
1,21.015
2,22.599
3,22.866
4,23.364
5,23.523
6,23.633
7,23.772
8,23.910
9,24.073
10,24.177
11,24.296
12,24.369
13,24.483
14,24.575
15,24.642
16,24.741
17,24.854
18,24.972
19,25.033
20,25.091
21,25.116
22,25.178
23,25.273
24,25.362
25,25.462
26,25.536
27,25.613
28,25.753
29,25.785
30,25.831
31,25.892
32,25.962
33,26.025
34,26.088
35,26.138
36,26.169
37,26.213
38,26.311
39,26.355
40,26.527
41,26.622
42,26.755
43,26.800
44,26.843
45,26.905
46,26.971
47,27.171
48,27.304
49,27.414
50,27.788
51,27.985
52,28.140
53,28.238
54,28.433
55,28.649
56,28.976
57,29.329
58,29.568
59,29.791
60,29.861
61,29.961
62,30.053
63,30.145
64,30.552
65,30.774
66,31.070
67,31.590
68,31.929
69,32.143
70,32.804
71,33.083
72,34.241
73,37.918
74,39.320
75,41.765
76,42.778
77,43.091
78,43.822
79,44.521
80,44.798
81,45.046
82,45.593
83,46.481
84,47.164
85,47.983
86,48.272
87,48.764
88,49.334
89,49.852
90,50.784
91,51.362
92,52.161
93,53.369
94,56.084
95,58.433
96,59.452
97,62.567
98,64.166
99,65.347
100,69.666
