Percentage served,Time in ms
0,13.107
1,17.361
2,19.098
3,20.450
4,21.153
5,21.916
6,22.604
7,23.020
8,23.392
9,23.770
10,23.969
11,24.092
12,24.251
13,24.504
14,24.614
15,24.817
16,24.919
17,24.983
18,25.077
19,25.294
20,25.422
21,25.491
22,25.583
23,25.762
24,25.867
25,25.977
26,26.043
27,26.135
28,26.270
29,26.307
30,26.350
31,26.432
32,26.547
33,26.609
34,26.705
35,26.732
36,26.834
37,26.908
38,27.035
39,27.103
40,27.276
41,27.300
42,27.454
43,27.596
44,27.674
45,27.736
46,27.878
47,27.963
48,28.094
49,28.232
50,28.363
51,28.512
52,28.630
53,28.725
54,28.936
55,29.130
56,29.363
57,29.728
58,30.225
59,30.746
60,31.320
61,32.594
62,33.750
63,37.742
64,41.445
65,42.189
66,45.537
67,48.832
68,50.269
69,51.393
70,52.505
71,53.707
72,53.765
73,54.133
74,54.687
75,55.411
76,55.875
77,56.180
78,56.661
79,57.106
80,57.344
81,57.803
82,58.210
83,58.597
84,59.085
85,59.228
86,59.582
87,59.876
88,60.449
89,60.640
90,61.114
91,61.544
92,62.129
93,62.896
94,63.263
95,63.867
96,64.553
97,65.220
98,66.998
99,73.457
100,17734.695
