Percentage served,Time in ms
0,7.092
1,8.599
2,8.840
3,9.027
4,9.213
5,9.359
6,9.465
7,9.543
8,9.731
9,9.799
10,9.904
11,10.001
12,10.086
13,10.155
14,10.253
15,10.411
16,10.525
17,10.599
18,10.643
19,10.691
20,10.756
21,10.793
22,10.830
23,10.889
24,10.951
25,11.037
26,11.156
27,11.282
28,11.405
29,11.450
30,11.531
31,11.626
32,11.729
33,11.780
34,11.862
35,11.890
36,11.951
37,11.997
38,12.092
39,12.195
40,12.339
41,12.412
42,12.511
43,12.577
44,12.774
45,12.846
46,12.925
47,13.020
48,13.099
49,13.271
50,13.413
51,13.532
52,13.652
53,13.721
54,13.813
55,13.875
56,13.992
57,14.271
58,14.394
59,14.633
60,14.852
61,14.920
62,15.280
63,15.519
64,15.804
65,16.087
66,16.311
67,16.559
68,16.909
69,17.239
70,18.141
71,18.732
72,21.013
73,22.408
74,23.673
75,47.810
76,54.688
77,56.552
78,57.314
79,58.214
80,58.662
81,59.109
82,59.277
83,59.518
84,59.884
85,60.414
86,60.897
87,61.276
88,61.474
89,62.101
90,62.591
91,62.769
92,63.258
93,63.900
94,64.362
95,64.814
96,65.683
97,67.001
98,68.897
99,71.680
100,78.142
