Percentage served,Time in ms
0,3.930
1,4.422
2,4.692
3,4.857
4,5.025
5,5.178
6,5.254
7,5.297
8,5.346
9,5.384
10,5.503
11,5.542
12,5.618
13,5.688
14,5.701
15,5.726
16,5.794
17,5.825
18,5.883
19,5.906
20,5.932
21,5.954
22,5.964
23,5.985
24,6.024
25,6.056
26,6.121
27,6.161
28,6.187
29,6.237
30,6.265
31,6.318
32,6.362
33,6.398
34,6.429
35,6.472
36,6.496
37,6.533
38,6.554
39,6.573
40,6.605
41,6.633
42,6.675
43,6.712
44,6.784
45,6.821
46,6.864
47,6.921
48,6.940
49,6.968
50,7.012
51,7.074
52,7.139
53,7.173
54,7.208
55,7.312
56,7.412
57,7.439
58,7.498
59,7.576
60,7.634
61,7.702
62,7.766
63,7.899
64,8.038
65,8.115
66,8.269
67,8.469
68,8.630
69,8.822
70,9.081
71,9.213
72,9.390
73,9.647
74,9.960
75,10.197
76,10.745
77,11.340
78,11.471
79,12.064
80,12.359
81,12.900
82,13.350
83,14.522
84,16.104
85,18.192
86,43.036
87,49.972
88,53.361
89,54.213
90,54.694
91,55.481
92,55.920
93,56.578
94,57.410
95,57.716
96,58.808
97,59.673
98,60.930
99,66.910
100,20045.425
