Percentage served,Time in ms
0,12.856
1,23.560
2,24.294
3,25.359
4,26.039
5,26.413
6,26.766
7,27.106
8,27.377
9,27.444
10,27.546
11,27.764
12,27.942
13,28.088
14,28.272
15,28.416
16,28.566
17,28.641
18,28.755
19,28.933
20,29.055
21,29.107
22,29.301
23,29.568
24,29.664
25,29.789
26,29.867
27,30.059
28,30.111
29,30.198
30,30.363
31,30.382
32,30.453
33,30.537
34,30.633
35,30.749
36,30.891
37,31.045
38,31.157
39,31.316
40,31.443
41,31.526
42,31.650
43,31.733
44,31.840
45,32.000
46,32.149
47,32.314
48,32.585
49,32.903
50,33.969
51,35.469
52,36.205
53,38.482
54,45.887
55,53.020
56,56.152
57,59.691
58,61.369
59,62.173
60,63.015
61,63.432
62,63.643
63,64.068
64,64.258
65,64.551
66,64.727
67,64.836
68,65.028
69,65.141
70,65.414
71,65.501
72,65.787
73,65.996
74,66.132
75,66.285
76,66.414
77,66.508
78,66.808
79,67.016
80,67.235
81,67.369
82,67.479
83,67.712
84,67.876
85,68.164
86,68.371
87,68.636
88,68.799
89,69.230
90,69.603
91,70.145
92,70.722
93,71.316
94,72.057
95,72.870
96,73.523
97,74.672
98,76.385
99,78.737
100,88.796
