Percentage served,Time in ms
0,19.376
1,22.798
2,23.181
3,24.032
4,24.256
5,24.887
6,25.187
7,25.499
8,25.583
9,25.752
10,26.081
11,26.338
12,26.448
13,26.732
14,26.812
15,27.125
16,27.252
17,27.361
18,27.540
19,27.666
20,27.805
21,27.876
22,28.049
23,28.119
24,28.243
25,28.436
26,28.528
27,28.657
28,28.882
29,29.028
30,29.195
31,29.291
32,29.442
33,29.485
34,29.677
35,29.759
36,29.911
37,29.998
38,30.146
39,30.334
40,30.458
41,30.679
42,30.943
43,31.191
44,31.420
45,31.508
46,31.717
47,32.127
48,32.238
49,32.605
50,32.773
51,32.921
52,33.092
53,33.512
54,33.853
55,34.785
56,36.177
57,42.443
58,48.130
59,54.028
60,55.197
61,56.028
62,57.795
63,59.104
64,59.463
65,59.700
66,60.224
67,60.400
68,60.676
69,61.230
70,61.489
71,61.875
72,62.236
73,62.526
74,62.663
75,62.809
76,63.035
77,63.271
78,63.585
79,63.670
80,63.859
81,63.989
82,64.136
83,64.283
84,64.690
85,64.932
86,65.040
87,65.511
88,65.655
89,65.787
90,65.885
91,66.005
92,66.276
93,66.669
94,67.097
95,67.295
96,67.987
97,68.962
98,69.769
99,70.824
100,18943.044
