Percentage served,Time in ms
0,7.336
1,8.483
2,9.311
3,9.669
4,10.061
5,10.461
6,10.667
7,10.832
8,10.959
9,11.244
10,11.454
11,11.705
12,11.910
13,11.969
14,12.084
15,12.175
16,12.247
17,12.317
18,12.369
19,12.417
20,12.601
21,12.737
22,12.775
23,12.871
24,12.983
25,13.051
26,13.102
27,13.152
28,13.246
29,13.300
30,13.358
31,13.440
32,13.538
33,13.641
34,13.717
35,13.775
36,13.851
37,13.884
38,13.957
39,14.006
40,14.104
41,14.136
42,14.261
43,14.327
44,14.404
45,14.537
46,14.623
47,14.690
48,14.873
49,14.962
50,15.081
51,15.215
52,15.315
53,15.497
54,15.622
55,15.689
56,15.824
57,16.091
58,16.239
59,16.497
60,16.684
61,17.024
62,17.719
63,17.987
64,18.886
65,19.289
66,20.576
67,21.246
68,22.550
69,23.779
70,27.881
71,47.142
72,55.102
73,57.886
74,58.689
75,59.431
76,59.978
77,60.449
78,60.820
79,61.130
80,61.710
81,62.098
82,62.449
83,62.698
84,62.961
85,63.583
86,63.808
87,63.962
88,64.411
89,64.680
90,65.000
91,65.064
92,65.367
93,66.084
94,66.934
95,67.772
96,68.305
97,72.086
98,73.908
99,77.426
100,81.424
