Percentage served,Time in ms
0,5.062
1,5.508
2,5.866
3,5.983
4,6.082
5,6.146
6,6.286
7,6.411
8,6.461
9,6.608
10,6.695
11,6.763
12,6.851
13,6.908
14,7.007
15,7.043
16,7.082
17,7.111
18,7.184
19,7.212
20,7.282
21,7.306
22,7.382
23,7.433
24,7.500
25,7.519
26,7.535
27,7.610
28,7.667
29,7.750
30,7.807
31,7.838
32,7.874
33,7.914
34,7.964
35,8.007
36,8.127
37,8.247
38,8.367
39,8.424
40,8.518
41,8.617
42,8.665
43,8.756
44,8.889
45,8.985
46,9.096
47,9.204
48,9.312
49,9.429
50,9.599
51,9.797
52,9.890
53,9.971
54,10.036
55,10.174
56,10.312
57,10.478
58,10.705
59,11.098
60,11.438
61,11.675
62,12.073
63,12.337
64,12.654
65,13.113
66,13.378
67,14.407
68,15.116
69,15.209
70,15.749
71,16.031
72,16.657
73,17.235
74,17.533
75,17.975
76,18.471
77,19.184
78,20.655
79,25.684
80,30.900
81,45.417
82,54.299
83,55.079
84,56.300
85,57.013
86,57.977
87,58.238
88,59.350
89,59.640
90,59.931
91,60.358
92,61.524
93,61.728
94,62.539
95,63.746
96,65.417
97,66.720
98,67.376
99,72.421
100,16605.640
