Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.6281166666666667,min
Min cumulative indexing time across primary shards,,0.3172166666666667,min
Median cumulative indexing time across primary shards,,0.3218166666666667,min
Max cumulative indexing time across primary shards,,0.33648333333333336,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.1627333333333333,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.03065,min
Median cumulative merge time across primary shards,,0.03175,min
Max cumulative merge time across primary shards,,0.036166666666666666,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.0896,min
Cumulative refresh count of primary shards,,70,
Min cumulative refresh time across primary shards,,0.016633333333333333,min
Median cumulative refresh time across primary shards,,0.018233333333333334,min
Max cumulative refresh time across primary shards,,0.01941666666666667,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.171,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.25335036497563124,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,24,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1994.71,docs/s
Mean Throughput,bulk,2613.89,docs/s
Median Throughput,bulk,2618.34,docs/s
Max Throughput,bulk,3069.86,docs/s
50th percentile latency,bulk,51.55198650000159,ms
90th percentile latency,bulk,72.15386449999528,ms
99th percentile latency,bulk,97.66274021000751,ms
99.9th percentile latency,bulk,221.4005927860047,ms
99.99th percentile latency,bulk,559.8418640670732,ms
100th percentile latency,bulk,574.9834899999939,ms
50th percentile service time,bulk,51.55198650000159,ms
90th percentile service time,bulk,72.15386449999528,ms
99th percentile service time,bulk,97.66274021000751,ms
99.9th percentile service time,bulk,221.4005927860047,ms
99.99th percentile service time,bulk,559.8418640670732,ms
100th percentile service time,bulk,574.9834899999939,ms
error rate,bulk,0.00,%
