Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,2.0160333333333336,min
Min cumulative indexing time across primary shards,,0.07545,min
Median cumulative indexing time across primary shards,,0.38327500000000003,min
Max cumulative indexing time across primary shards,,0.4037833333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.11474999999999999,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.024141666666666665,min
Max cumulative merge time across primary shards,,0.03213333333333333,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.07635,min
Cumulative refresh count of primary shards,,100,
Min cumulative refresh time across primary shards,,0.011616666666666666,min
Median cumulative refresh time across primary shards,,0.012733333333333334,min
Max cumulative refresh time across primary shards,,0.013833333333333333,min
Cumulative flush time of primary shards,,0.017033333333333334,min
Cumulative flush count of primary shards,,8,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.017033333333333334,min
Total Young Gen GC time,,0.407,s
Total Young Gen GC count,,9,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7618028009310365,GB
Translog size,,0.9585680346935987,GB
Heap used for segments,,0.12746810913085938,MB
Heap used for doc values,,0.006977081298828125,MB
Heap used for terms,,0.092041015625,MB
Heap used for norms,,0.01318359375,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.01526641845703125,MB
Segment count,,31,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1239.57,docs/s
Mean Throughput,bulk,2028.57,docs/s
Median Throughput,bulk,2042.13,docs/s
Max Throughput,bulk,2057.86,docs/s
50th percentile latency,bulk,69.41240050946362,ms
90th percentile latency,bulk,87.14437138405627,ms
99th percentile latency,bulk,112.6496078929631,ms
99.9th percentile latency,bulk,685.2205011951806,ms
99.99th percentile latency,bulk,842.0996473703904,ms
100th percentile latency,bulk,846.930612984579,ms
50th percentile service time,bulk,69.41240050946362,ms
90th percentile service time,bulk,87.14437138405627,ms
99th percentile service time,bulk,112.6496078929631,ms
99.9th percentile service time,bulk,685.2205011951806,ms
99.99th percentile service time,bulk,842.0996473703904,ms
100th percentile service time,bulk,846.930612984579,ms
error rate,bulk,0.00,%
