Percentage served,Time in ms
0,8.444
1,10.221
2,10.739
3,11.430
4,11.720
5,12.093
6,12.349
7,12.445
8,12.680
9,12.938
10,13.279
11,13.438
12,13.544
13,13.720
14,13.812
15,13.957
16,14.052
17,14.255
18,14.316
19,14.443
20,14.550
21,14.637
22,14.699
23,14.804
24,14.870
25,14.960
26,15.016
27,15.074
28,15.171
29,15.338
30,15.389
31,15.443
32,15.482
33,15.550
34,15.637
35,15.696
36,15.754
37,15.835
38,15.944
39,16.003
40,16.043
41,16.127
42,16.176
43,16.250
44,16.328
45,16.385
46,16.438
47,16.539
48,16.585
49,16.672
50,16.743
51,16.881
52,17.083
53,17.178
54,17.294
55,17.363
56,17.408
57,17.530
58,17.593
59,17.675
60,17.791
61,17.906
62,18.009
63,18.129
64,18.182
65,18.276
66,18.472
67,18.535
68,18.650
69,18.726
70,18.777
71,18.932
72,19.102
73,19.408
74,19.613
75,19.908
76,20.225
77,20.408
78,21.671
79,24.274
80,27.875
81,28.898
82,32.111
83,33.379
84,34.095
85,34.593
86,34.636
87,35.666
88,36.162
89,36.517
90,37.213
91,37.628
92,37.836
93,38.496
94,39.862
95,41.126
96,41.313
97,42.599
98,44.155
99,49.235
100,53.139
