Percentage served,Time in ms
0,8.515
1,10.314
2,10.823
3,11.080
4,11.560
5,11.689
6,11.910
7,12.106
8,12.392
9,12.672
10,13.025
11,13.370
12,13.434
13,13.637
14,13.879
15,13.970
16,14.100
17,14.432
18,14.686
19,14.792
20,14.866
21,14.924
22,15.088
23,15.288
24,15.413
25,15.470
26,15.689
27,15.777
28,15.867
29,15.954
30,16.102
31,16.227
32,16.329
33,16.403
34,16.474
35,16.552
36,16.579
37,16.641
38,16.808
39,16.908
40,17.034
41,17.081
42,17.255
43,17.440
44,17.535
45,17.636
46,17.695
47,17.777
48,17.857
49,17.950
50,17.999
51,18.096
52,18.276
53,18.606
54,18.810
55,18.877
56,18.929
57,19.010
58,19.110
59,19.163
60,19.212
61,19.328
62,19.581
63,19.674
64,19.826
65,19.929
66,20.047
67,20.180
68,20.352
69,20.544
70,20.728
71,21.221
72,21.631
73,21.762
74,22.200
75,22.763
76,23.811
77,25.887
78,30.645
79,33.480
80,34.077
81,34.673
82,35.618
83,36.705
84,37.819
85,40.438
86,41.421
87,42.815
88,43.705
89,44.251
90,44.431
91,45.119
92,45.625
93,46.779
94,47.627
95,47.978
96,48.731
97,50.306
98,51.052
99,54.523
100,16751.395
