Percentage served,Time in ms
0,6.853
1,8.683
2,9.461
3,9.711
4,10.016
5,10.430
6,11.052
7,11.289
8,11.453
9,11.747
10,11.934
11,12.078
12,12.202
13,12.305
14,12.688
15,12.790
16,13.113
17,13.174
18,13.457
19,13.564
20,13.586
21,13.739
22,13.952
23,14.175
24,14.452
25,14.634
26,14.709
27,14.916
28,15.025
29,15.269
30,15.549
31,15.640
32,15.930
33,16.335
34,16.566
35,16.748
36,17.214
37,17.405
38,17.922
39,18.151
40,18.387
41,19.054
42,19.498
43,19.765
44,20.388
45,20.527
46,20.931
47,21.608
48,22.183
49,22.928
50,23.338
51,24.183
52,24.692
53,25.753
54,27.264
55,28.933
56,31.014
57,34.237
58,37.331
59,40.418
60,55.157
61,59.527
62,60.861
63,61.526
64,62.181
65,62.722
66,63.468
67,63.808
68,64.392
69,65.409
70,65.601
71,66.051
72,66.354
73,66.789
74,67.768
75,68.305
76,68.916
77,69.133
78,69.877
79,71.023
80,72.119
81,72.833
82,73.883
83,74.629
84,76.060
85,76.782
86,78.703
87,79.586
88,80.408
89,81.614
90,82.670
91,83.572
92,84.536
93,86.343
94,87.194
95,88.259
96,88.884
97,90.357
98,91.580
99,96.708
100,16257.566
