Percentage served,Time in ms
0,9.640
1,10.663
2,10.928
3,11.451
4,12.062
5,12.610
6,12.941
7,13.198
8,13.379
9,13.687
10,13.856
11,14.020
12,14.166
13,14.331
14,14.473
15,14.571
16,14.688
17,14.824
18,14.877
19,14.909
20,14.957
21,15.010
22,15.059
23,15.136
24,15.223
25,15.276
26,15.356
27,15.453
28,15.493
29,15.531
30,15.614
31,15.643
32,15.680
33,15.715
34,15.796
35,15.852
36,15.895
37,15.953
38,15.976
39,16.081
40,16.133
41,16.198
42,16.227
43,16.268
44,16.353
45,16.422
46,16.454
47,16.557
48,16.626
49,16.703
50,16.810
51,16.850
52,16.913
53,16.978
54,17.033
55,17.132
56,17.202
57,17.320
58,17.454
59,17.554
60,17.623
61,17.760
62,17.858
63,17.943
64,18.103
65,18.230
66,18.349
67,18.419
68,18.655
69,18.687
70,18.857
71,18.927
72,19.068
73,19.225
74,19.522
75,20.080
76,20.236
77,20.524
78,21.239
79,21.863
80,26.084
81,31.253
82,32.292
83,33.017
84,33.606
85,33.919
86,34.941
87,35.902
88,36.286
89,36.602
90,37.052
91,37.996
92,38.662
93,39.728
94,40.261
95,41.136
96,43.359
97,44.096
98,47.295
99,51.308
100,56.333
