Percentage served,Time in ms
0,9.147
1,9.896
2,10.362
3,10.778
4,10.942
5,11.628
6,11.981
7,12.324
8,13.070
9,13.335
10,13.574
11,14.107
12,14.356
13,14.413
14,14.598
15,14.799
16,14.890
17,15.030
18,15.112
19,15.282
20,15.368
21,15.483
22,15.588
23,15.692
24,15.833
25,15.937
26,16.004
27,16.087
28,16.200
29,16.281
30,16.315
31,16.373
32,16.414
33,16.514
34,16.555
35,16.643
36,16.679
37,16.807
38,16.964
39,17.014
40,17.096
41,17.159
42,17.203
43,17.239
44,17.333
45,17.419
46,17.487
47,17.541
48,17.595
49,17.671
50,17.772
51,17.919
52,17.958
53,18.072
54,18.160
55,18.322
56,18.452
57,18.509
58,18.586
59,18.714
60,18.790
61,18.930
62,19.130
63,19.195
64,19.330
65,19.497
66,19.711
67,19.924
68,20.075
69,20.277
70,20.487
71,20.703
72,20.834
73,21.103
74,21.275
75,21.677
76,22.367
77,23.457
78,27.933
79,32.896
80,35.245
81,35.822
82,36.827
83,37.413
84,38.741
85,39.343
86,40.709
87,42.085
88,42.576
89,42.910
90,43.887
91,44.788
92,45.043
93,45.726
94,46.837
95,47.825
96,48.610
97,49.139
98,50.636
99,57.042
100,17185.453
