Percentage served,Time in ms
0,8.756
1,13.695
2,16.668
3,17.744
4,18.217
5,18.693
6,19.621
7,19.934
8,20.132
9,20.333
10,20.689
11,20.856
12,21.238
13,21.377
14,21.576
15,21.876
16,22.065
17,22.202
18,22.523
19,22.742
20,23.003
21,23.166
22,23.490
23,23.739
24,23.977
25,24.168
26,24.373
27,24.527
28,24.639
29,25.144
30,25.503
31,25.898
32,26.123
33,26.909
34,27.127
35,27.203
36,27.541
37,28.090
38,28.946
39,29.154
40,29.433
41,30.313
42,31.965
43,32.919
44,33.615
45,35.825
46,37.988
47,58.215
48,62.781
49,66.401
50,68.135
51,69.158
52,69.621
53,69.985
54,70.163
55,70.321
56,70.463
57,70.666
58,70.849
59,70.992
60,71.173
61,71.314
62,71.528
63,71.807
64,71.857
65,71.935
66,72.190
67,72.404
68,72.638
69,72.845
70,72.967
71,73.076
72,73.351
73,73.640
74,73.962
75,74.321
76,74.520
77,75.028
78,75.308
79,75.958
80,77.040
81,78.002
82,79.455
83,80.470
84,81.831
85,82.898
86,85.042
87,86.492
88,87.025
89,87.518
90,88.810
91,89.416
92,91.055
93,92.229
94,93.881
95,95.826
96,96.433
97,99.633
98,114.998
99,126.448
100,206.594
