Percentage served,Time in ms
0,8.393
1,8.869
2,9.700
3,9.932
4,10.232
5,10.416
6,10.826
7,11.080
8,11.335
9,11.775
10,11.890
11,12.254
12,12.453
13,12.656
14,13.093
15,13.223
16,13.365
17,13.568
18,13.702
19,13.812
20,14.025
21,14.272
22,14.517
23,14.616
24,14.883
25,15.082
26,15.237
27,15.555
28,15.653
29,15.796
30,15.892
31,16.270
32,16.341
33,16.652
34,16.934
35,17.229
36,17.357
37,17.502
38,17.987
39,18.284
40,18.474
41,18.769
42,18.987
43,19.303
44,19.597
45,20.111
46,20.711
47,21.051
48,21.314
49,22.747
50,23.480
51,24.504
52,25.409
53,26.173
54,27.530
55,28.923
56,31.791
57,33.292
58,34.919
59,38.666
60,47.425
61,59.269
62,60.183
63,60.398
64,60.662
65,61.362
66,62.136
67,62.530
68,62.899
69,63.125
70,63.381
71,63.803
72,64.674
73,65.070
74,65.408
75,66.818
76,67.241
77,67.674
78,69.236
79,69.928
80,70.462
81,71.606
82,72.127
83,72.709
84,73.705
85,75.000
86,76.544
87,76.807
88,78.193
89,78.942
90,79.407
91,80.177
92,81.212
93,82.884
94,84.385
95,85.929
96,88.406
97,89.505
98,92.299
99,97.819
100,16511.137
