Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.46455,min
Min cumulative indexing time across primary shards,,0.28615,min
Median cumulative indexing time across primary shards,,0.2949333333333334,min
Max cumulative indexing time across primary shards,,0.30075,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.04873333333333333,min
Cumulative merge count of primary shards,,1,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0,min
Max cumulative merge time across primary shards,,0.04873333333333333,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.1415833333333333,min
Cumulative refresh count of primary shards,,55,
Min cumulative refresh time across primary shards,,0.023299999999999998,min
Median cumulative refresh time across primary shards,,0.028083333333333335,min
Max cumulative refresh time across primary shards,,0.03308333333333333,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.244,s
Total Young Gen GC count,,8,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.24054222740232944,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,49,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,799.75,docs/s
Mean Throughput,bulk,2931.16,docs/s
Median Throughput,bulk,3142.92,docs/s
Max Throughput,bulk,3324.46,docs/s
50th percentile latency,bulk,41.93060149999894,ms
90th percentile latency,bulk,46.674342899987664,ms
99th percentile latency,bulk,99.878469140003,ms
99.9th percentile latency,bulk,397.65316066005937,ms
99.99th percentile latency,bulk,706.4526262322955,ms
100th percentile latency,bulk,707.9007959999899,ms
50th percentile service time,bulk,41.93060149999894,ms
90th percentile service time,bulk,46.674342899987664,ms
99th percentile service time,bulk,99.878469140003,ms
99.9th percentile service time,bulk,397.65316066005937,ms
99.99th percentile service time,bulk,706.4526262322955,ms
100th percentile service time,bulk,707.9007959999899,ms
error rate,bulk,0.00,%
