Percentage served,Time in ms
0,9.766
1,10.952
2,11.434
3,11.674
4,12.007
5,12.165
6,12.743
7,13.307
8,13.760
9,14.044
10,14.231
11,14.538
12,14.685
13,14.968
14,15.136
15,15.257
16,15.318
17,15.509
18,15.902
19,15.994
20,16.119
21,16.208
22,16.220
23,16.372
24,16.479
25,16.569
26,16.671
27,16.716
28,16.790
29,16.918
30,16.989
31,17.057
32,17.130
33,17.223
34,17.300
35,17.400
36,17.452
37,17.523
38,17.605
39,17.666
40,17.814
41,17.928
42,17.965
43,18.133
44,18.175
45,18.255
46,18.302
47,18.358
48,18.467
49,18.503
50,18.585
51,18.660
52,18.770
53,18.850
54,18.948
55,19.046
56,19.140
57,19.220
58,19.343
59,19.427
60,19.472
61,19.612
62,19.781
63,19.836
64,20.016
65,20.110
66,20.308
67,20.394
68,20.505
69,20.586
70,20.690
71,20.881
72,20.995
73,21.555
74,22.128
75,22.978
76,23.930
77,26.985
78,32.437
79,33.819
80,34.627
81,35.767
82,37.039
83,37.924
84,38.800
85,39.442
86,40.075
87,40.526
88,40.987
89,41.413
90,42.087
91,42.576
92,43.148
93,44.326
94,45.543
95,46.248
96,48.631
97,51.136
98,52.639
99,55.206
100,59.081
