Percentage served,Time in ms
0,10.086
1,10.800
2,11.168
3,11.837
4,12.195
5,12.282
6,12.482
7,12.795
8,13.066
9,13.207
10,13.320
11,13.454
12,13.667
13,13.903
14,14.170
15,14.268
16,14.497
17,14.553
18,14.889
19,15.069
20,15.249
21,15.406
22,15.586
23,15.690
24,15.753
25,15.850
26,16.064
27,16.186
28,16.263
29,16.330
30,16.452
31,16.498
32,16.585
33,16.659
34,16.778
35,16.856
36,17.003
37,17.093
38,17.204
39,17.284
40,17.335
41,17.490
42,17.596
43,17.674
44,17.733
45,17.904
46,17.982
47,18.126
48,18.254
49,18.432
50,18.497
51,18.593
52,18.773
53,18.891
54,19.147
55,19.391
56,19.513
57,19.540
58,19.678
59,19.747
60,19.833
61,20.008
62,20.129
63,20.257
64,20.375
65,20.551
66,20.813
67,21.062
68,21.444
69,21.670
70,22.008
71,22.255
72,22.637
73,23.278
74,23.633
75,24.592
76,27.136
77,33.829
78,37.672
79,38.927
80,39.705
81,40.977
82,41.810
83,43.448
84,43.917
85,45.008
86,46.054
87,46.567
88,47.088
89,47.704
90,48.103
91,48.747
92,49.339
93,49.837
94,50.265
95,50.819
96,53.120
97,54.709
98,55.921
99,59.073
100,17589.098
