Percentage served,Time in ms
0,9.637
1,12.014
2,12.554
3,13.386
4,13.724
5,13.844
6,14.109
7,14.410
8,14.577
9,14.718
10,14.846
11,14.969
12,15.209
13,15.398
14,15.678
15,15.828
16,16.040
17,16.111
18,16.194
19,16.251
20,16.384
21,16.476
22,16.632
23,16.773
24,17.019
25,17.131
26,17.180
27,17.342
28,17.417
29,17.550
30,17.724
31,17.909
32,18.018
33,18.183
34,18.215
35,18.307
36,18.467
37,18.583
38,18.702
39,18.838
40,19.107
41,19.453
42,19.616
43,19.949
44,20.437
45,20.917
46,21.135
47,21.459
48,21.800
49,22.595
50,22.879
51,23.717
52,24.095
53,25.111
54,25.756
55,26.684
56,31.597
57,59.268
58,61.707
59,62.719
60,63.455
61,63.913
62,64.038
63,64.471
64,64.954
65,65.214
66,65.570
67,65.781
68,65.950
69,66.316
70,66.620
71,66.822
72,66.953
73,67.114
74,67.540
75,68.022
76,68.305
77,69.153
78,70.044
79,70.433
80,70.706
81,71.090
82,72.325
83,72.926
84,73.556
85,74.566
86,75.187
87,77.169
88,78.379
89,80.651
90,84.186
91,90.946
92,95.998
93,98.615
94,100.872
95,105.669
96,110.214
97,118.848
98,167.312
99,175.122
100,224.072
