Percentage served,Time in ms
0,6.465
1,7.879
2,8.869
3,9.534
4,10.245
5,10.553
6,10.697
7,11.019
8,11.307
9,11.448
10,11.722
11,12.013
12,12.368
13,12.473
14,12.549
15,12.835
16,13.018
17,13.135
18,13.341
19,13.387
20,13.456
21,13.565
22,13.781
23,14.372
24,14.524
25,14.706
26,15.136
27,15.582
28,15.731
29,15.936
30,16.404
31,16.521
32,16.883
33,17.202
34,17.368
35,17.745
36,17.821
37,18.073
38,18.395
39,18.775
40,19.167
41,19.941
42,20.372
43,21.077
44,21.649
45,22.153
46,22.838
47,23.793
48,24.129
49,24.961
50,25.575
51,25.971
52,26.880
53,27.353
54,27.878
55,29.480
56,30.295
57,33.761
58,37.400
59,54.444
60,59.319
61,60.648
62,61.445
63,62.082
64,62.600
65,63.590
66,64.434
67,65.885
68,66.242
69,66.706
70,67.570
71,67.937
72,68.671
73,68.974
74,69.233
75,69.886
76,70.513
77,71.256
78,71.752
79,72.074
80,72.437
81,72.767
82,73.401
83,74.899
84,75.500
85,75.861
86,76.952
87,77.558
88,78.228
89,79.439
90,80.236
91,81.362
92,82.076
93,82.642
94,84.459
95,86.418
96,88.021
97,90.008
98,96.477
99,104.814
100,17614.094
