Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.4729666666666668,min
Min cumulative indexing time across primary shards,,0.2876,min
Median cumulative indexing time across primary shards,,0.29606666666666664,min
Max cumulative indexing time across primary shards,,0.29896666666666666,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.23813333333333334,min
Cumulative merge count of primary shards,,4,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.05681666666666666,min
Max cumulative merge time across primary shards,,0.06693333333333333,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.12073333333333333,min
Cumulative refresh count of primary shards,,63,
Min cumulative refresh time across primary shards,,0.0206,min
Median cumulative refresh time across primary shards,,0.024333333333333332,min
Max cumulative refresh time across primary shards,,0.029033333333333335,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.344,s
Total Young Gen GC count,,9,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.2648002626374364,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,54,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,640.50,docs/s
Mean Throughput,bulk,2409.20,docs/s
Median Throughput,bulk,2553.00,docs/s
Max Throughput,bulk,2679.10,docs/s
50th percentile latency,bulk,52.285388000001376,ms
90th percentile latency,bulk,60.09359010001276,ms
99th percentile latency,bulk,114.74173325000055,ms
99.9th percentile latency,bulk,245.24281284400175,ms
99.99th percentile latency,bulk,493.598478449508,ms
100th percentile latency,bulk,499.1464860000008,ms
50th percentile service time,bulk,52.285388000001376,ms
90th percentile service time,bulk,60.09359010001276,ms
99th percentile service time,bulk,114.74173325000055,ms
99.9th percentile service time,bulk,245.24281284400175,ms
99.99th percentile service time,bulk,493.598478449508,ms
100th percentile service time,bulk,499.1464860000008,ms
error rate,bulk,0.00,%
