Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.5924,min
Min cumulative indexing time across primary shards,,0.31334999999999996,min
Median cumulative indexing time across primary shards,,0.31975,min
Max cumulative indexing time across primary shards,,0.3217166666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.1125,min
Cumulative merge count of primary shards,,14,
Min cumulative merge time across primary shards,,0.017416666666666667,min
Median cumulative merge time across primary shards,,0.023033333333333333,min
Max cumulative merge time across primary shards,,0.026366666666666667,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.07931666666666667,min
Cumulative refresh count of primary shards,,75,
Min cumulative refresh time across primary shards,,0.015216666666666667,min
Median cumulative refresh time across primary shards,,0.01605,min
Max cumulative refresh time across primary shards,,0.0165,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.082,s
Total Young Gen GC count,,3,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7678184984251857,GB
Translog size,,1.0057613840326667,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,57,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,2258.55,docs/s
Mean Throughput,bulk,2749.85,docs/s
Median Throughput,bulk,2666.68,docs/s
Max Throughput,bulk,3047.25,docs/s
50th percentile latency,bulk,54.45431199768791,ms
90th percentile latency,bulk,77.06205470021814,ms
99th percentile latency,bulk,116.80675370254899,ms
99.9th percentile latency,bulk,172.56498151412129,ms
99.99th percentile latency,bulk,207.05467849953806,ms
100th percentile latency,bulk,270.9086450013274,ms
50th percentile service time,bulk,54.45431199768791,ms
90th percentile service time,bulk,77.06205470021814,ms
99th percentile service time,bulk,116.80675370254899,ms
99.9th percentile service time,bulk,172.56498151412129,ms
99.99th percentile service time,bulk,207.05467849953806,ms
100th percentile service time,bulk,270.9086450013274,ms
error rate,bulk,0.00,%
