Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.46105,min
Min cumulative indexing time across primary shards,,0.2731,min
Median cumulative indexing time across primary shards,,0.29014999999999996,min
Max cumulative indexing time across primary shards,,0.31021666666666664,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.15181666666666666,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.024966666666666668,min
Median cumulative merge time across primary shards,,0.03125,min
Max cumulative merge time across primary shards,,0.032516666666666666,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.21691666666666667,min
Cumulative refresh count of primary shards,,33,
Min cumulative refresh time across primary shards,,0.037566666666666665,min
Median cumulative refresh time across primary shards,,0.04323333333333333,min
Max cumulative refresh time across primary shards,,0.04903333333333334,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.174,s
Total Young Gen GC count,,4,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.3227380272001028,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,42,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,9960.86,docs/s
Mean Throughput,bulk,13175.48,docs/s
Median Throughput,bulk,12975.16,docs/s
Max Throughput,bulk,15333.53,docs/s
50th percentile latency,bulk,7.238006499392213,ms
90th percentile latency,bulk,9.822586098744068,ms
99th percentile latency,bulk,17.720076888581353,ms
99.9th percentile latency,bulk,455.03059663329446,ms
99.99th percentile latency,bulk,931.7635658179273,ms
100th percentile latency,bulk,1042.8818940017663,ms
50th percentile service time,bulk,7.238006499392213,ms
90th percentile service time,bulk,9.822586098744068,ms
99th percentile service time,bulk,17.720076888581353,ms
99.9th percentile service time,bulk,455.03059663329446,ms
99.99th percentile service time,bulk,931.7635658179273,ms
100th percentile service time,bulk,1042.8818940017663,ms
error rate,bulk,0.00,%
