Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.1690666666666667,min
Min cumulative indexing time across primary shards,,0.20533333333333334,min
Median cumulative indexing time across primary shards,,0.21943333333333334,min
Max cumulative indexing time across primary shards,,0.30826666666666663,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.02351666666666667,min
Cumulative merge count of primary shards,,7,
Min cumulative merge time across primary shards,,0.002983333333333333,min
Median cumulative merge time across primary shards,,0.003966666666666666,min
Max cumulative merge time across primary shards,,0.006866666666666666,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.5323166666666667,min
Cumulative refresh count of primary shards,,84,
Min cumulative refresh time across primary shards,,0.08678333333333334,min
Median cumulative refresh time across primary shards,,0.10863333333333333,min
Max cumulative refresh time across primary shards,,0.13343333333333335,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.273,s
Total Young Gen GC count,,33,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,1.1763881016522646,GB
Translog size,,0.9997574537992477,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,78,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,19.39,docs/s
Mean Throughput,bulk,2716.89,docs/s
Median Throughput,bulk,2876.35,docs/s
Max Throughput,bulk,2942.62,docs/s
50th percentile latency,bulk,45.69829150568694,ms
90th percentile latency,bulk,59.29890868719667,ms
99th percentile latency,bulk,76.94506134284887,ms
99.9th percentile latency,bulk,311.2229473479132,ms
99.99th percentile latency,bulk,3179.8607227730736,ms
100th percentile latency,bulk,3247.322292998433,ms
50th percentile service time,bulk,45.69829150568694,ms
90th percentile service time,bulk,59.29890868719667,ms
99th percentile service time,bulk,76.94506134284887,ms
99.9th percentile service time,bulk,311.2229473479132,ms
99.99th percentile service time,bulk,3179.8607227730736,ms
100th percentile service time,bulk,3247.322292998433,ms
error rate,bulk,0.00,%
